id,name,entry_name,alter_name,chinese_name,brand,age,nation,type,price,unlock,rank,score,transmission,dlc,speed,handling,acceleration,launch,braking,offroad,new_img_id,img_small_url,img_large_url,playlist,playlist_info
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
车辆编号,车辆名称,车辆词条名称,车辆简称,车辆别名,厂商,年份,国家/地区,车辆类型,价格,解锁方式,性能等级,性能评级,传动方式,是否为dlc内容,车速,操控,加速,起步,刹车,越野,透明缩略图编号,俯视角缩略图url,侧视角缩略图url,进入季节赛次数,季节赛中的详细获取方式
car_001,Integra Type-R,讴歌 Integra Type-R 2001,Acura Integra,,讴歌,2001,美国,复古高性能掀背车,"25,000",车展,C,596,FWD (前轮驱动),,5.6,4.6,3.9,3.1,3.4,5.4,368,https://cdn.max-c.com/wiki/1551360/Thumbnail_368_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_368_Big.png?v=1,2,S17 冬季 - 季节锦标赛；<br>S29 春季 - 季节锦标赛（风火轮）
car_002,RSX Type-S,讴歌 RSX Type-S 2002,Acura RSX,,讴歌,2002,美国,复古高性能掀背车,"25,000",车展,C,585,FWD (前轮驱动),,5.6,4.7,3.9,3,3.5,5.6,422,https://cdn.max-c.com/wiki/1551360/Thumbnail_422_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_422_Big.png?v=1,,
car_003,NSX,讴歌 NSX 2017,Acura NSX '17,,讴歌,2017,美国,现代超级跑车,"170,000",车展,S1,831,AWD (全轮驱动),,7,6.3,9.2,10,7.1,5.3,2352,https://cdn.max-c.com/wiki/1551360/Thumbnail_2352_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_2352_Big.png?v=1,4,S9 冬季 - Eventlab；<br>S17 夏季 - 马拉松商店250FP；<br>S23 冬季 - 季节锦标赛；<br>S38 秋季 - 终极考验
car_004,A110 1600s,Alpine A110 1600s 1973,Alpine A110 '73,,Alpine,1973,法国,经典拉力赛车,"98,000",车展,C,550,RWD (后轮驱动),,5,4.1,4.1,3.1,3,5.5,1536,https://cdn.max-c.com/wiki/1551360/Thumbnail_1536_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_1536_Big.png?v=1,4,S11 秋季 - Super7；<br>S18 秋季 - 终极考验；<br>S23 冬季 - 季节锦标赛（风火轮）；<br>S36 夏季 - 季节锦标赛（拉力赛）
car_005,A110,Alpine A110 2017,Alpine A110 '17,,Alpine,2017,法国,现代跑车,"67,500",抽奖,B,694,RWD (后轮驱动),,6,5.8,5.4,5.7,4.2,4.7,2973,https://cdn.max-c.com/wiki/1551360/Thumbnail_2973_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_2973_Big.png?v=1,4,S0 春季 - 16分进度奖励；<br>S5 冬季 - Super7；<br>S14 - 160分进度奖励；<br>S35 夏季 - 马拉松商店650FP
car_006,Class 10 Race Car,铝工艺 Class 10 Race Car 2015,Alumi Craft C.10,,铝工艺,2015,美国,无限制沙滩车,"300,000",车展，抽奖,B,642,RWD (后轮驱动),,4.4,3.8,5,4.1,4.8,9.9,2552,https://cdn.max-c.com/wiki/1551360/Thumbnail_2552_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_2552_Big.png?v=1,5,S3 夏季 - 马拉松商店400FP；<br>S7 冬季 - 季节锦标赛；<br>S12 秋季 - 终极考验；<br>S21 春季 - 马拉松商店300FP；<br>S35 冬季 - 终极考验
car_007,Gremlin X,AMC Gremlin X 1973,AMC Gremlin,,AMC,1973,美国,狂热跑车,"35,000",车展，抽奖,D,403,RWD (后轮驱动),,4,3.7,3.4,3.4,2.3,5.4,1482,https://cdn.max-c.com/wiki/1551360/Thumbnail_1482_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_1482_Big.png?v=1,3,S5 秋季 - 游乐场赛事；<br>S14 秋季 - 季节锦标赛（风火轮）；<br>S32 春季 - 季节锦标赛（风火轮）
car_008,M12S Warthog CST,AMG Transport Dynamics M12S Warthog CST 2554,M12S Warthog CST,,AMG Transport Dynamics,2554,美国,无限制越野车,"850,000",车展，抽奖,A,719,AWD (全轮驱动),,4.2,3.9,8.6,10,6.7,10,2574,https://cdn.max-c.com/wiki/1551360/Thumbnail_2574_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_2574_Big.png?v=1,4,S25 春季 - 马拉松商店400FP；<br>S33 夏季 - Eventlab；<br>S35 冬季 - 马拉松商店450FP；<br>S40 夏季 - 马拉松商店343FP
